old_id,old_name,new_id,new_name,change_type
3897:1771,[App] 3 New Cus Promotion-goldvip-landing-0ppl,3897:1771,MGM/Page/NewCustomerPromotion-goldvip-landing-0ppl,rename
3897:1773,black frame,3897:1773,MGM/Layout/Background,rename
3897:1776,Rectangle 986,3897:1776,MGM/Decoration/ContentCardBackground,rename
3897:1780,Frame 202,3897:1780,MGM/Section/Referral/CodeField,rename
3897:1781,Group 201,3898:73,MGM/Section/Referral/CodeField/Input,group_to_autolayout
3897:1804,Group 390,3898:70,MGM/Section/Stats/ReferralCount,group_to_autolayout
3897:1809,Group 390,3898:71,MGM/Section/Stats/CouponCount,group_to_autolayout
3897:1823,Group 414,3898:72,MGM/Section/CTA/ViewCouponsButton,group_to_autolayout
3897:1826,Group 415,3898:75,MGM/Section/Footer,group_to_autolayout
3897:1812,Group 271,3897:1813,MGM/Copy/CouponLimitNote,flatten_group
3897:1830,Title sharing,3897:1830,MGM/Component/TitleSharing,rename
3897:1831,Status Bar/real,3897:1831,MGM/Component/StatusBar,rename
3897:1832,graphics,3897:1832,MGM/Section/Hero/Graphics,rename
3897:1833,Group 411,3897:1833,MGM/Section/Hero/Illustration,rename
,,3898:76,MGM/Section/Chrome,section_wrap_new
,,3898:77,MGM/Section/Hero,section_wrap_new
,,3898:78,MGM/Section/Promo,section_wrap_new
,,3898:79,MGM/Section/Referral,section_wrap_new
,,3898:80,MGM/Section/StatsReferrals,section_wrap_new
,,3898:81,MGM/Section/StatsCoupons,section_wrap_new
,,3898:82,MGM/Section/CTA,section_wrap_new
